material_id,formula,energy_above_hull (eV/atom),energy_per_atom (eV/atom),density (g/cm³),band_gap (eV),bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio
mp-6709,Ca3La3(BO3)5,0.0,-8.365547423653847,4.397013342819205,4.1362,,,,,,,
mp-844,Ca3N2,0.0,-8.834197172749999,2.634933159523292,1.3497,67.66666666666667,34.0,87.36708860759494,,,,
mp-11824,Ca3PN,0.0,-9.054565102,2.6228647853136993,0.8055999999999991,63.0,53.526315789473685,125.138671875,8.44481671,0.0,0.0,1.0
mp-1205330,Ca3SiO,0.0,-4.876703399,2.615034647289244,0.056599999999999005,,,,,,,
mp-15004,Ca3ZrSi2O9,0.0,-8.201890329166668,3.3780282162638082,4.4939,,,,,,,
mp-5251,Ca4CN4,0.0,-9.310905707777778,2.677032656490874,1.790699999999999,66.39585740307052,34.094457161113226,87.33453021705839,4.953081139999999,0.0176869138246968,0.3254040699999994,1.0678661506292564
mp-1029730,Ca4HfN4,0.0,-13.581982947222222,4.319646904249047,1.2158,88.76256785627183,41.954977416660725,108.7334293276262,5.924841673333334,0.010124742018659316,0.245082214223161,1.0422937982198
mp-6076,Ca4LaB3O10,0.0,-7.961180274444445,3.419335068896059,4.3032,,,,,,,
mp-5380,Ca4P2O,0.0,-5.170744518571427,2.598231990220828,1.2714,61.86944444444445,43.79174809197951,106.29612674856632,7.365468903333334,0.09825291353045744,0.6649357054174505,1.0960587256345544
mp-5263,Ca4P2O9,0.0,-7.551729600333334,3.079637224883784,4.747400000000001,,,,,,,
mp-559537,Ca4P6O19,0.0,-7.706556043620689,2.898006984067313,5.3711,,,,,,,
mp-1019576,Ca4SiN4,0.0,-6.42290948416669,3.015632454232651,1.4498,,,,5.803597450000001,0.028699855081286946,0.40378622545470044,1.0717290469071914
mp-1214132,Ca4SiP4,0.0,-4.940922580972223,2.480221769915372,1.1988,,,,,,,
mp-2713941,Ca4Ta2(SO4)9,0.0,-7.244092787450981,2.710910239899219,3.1155,,,,,,,
mp-769317,Ca4Ta2O9,0.0,-8.571076152333339,5.752826475023317,3.983499999999999,,,,,,,
mp-568469,Ca4TiN4,0.0,-6.784099876666667,3.088087497285169,1.5392000000000001,90.63878348537764,44.7791632547826,115.34283993521738,6.244872076666667,0.03116432510187263,0.42723457251155317,1.0706111452132616
mp-1029660,Ca4ZrN4,0.0,-11.053394223333335,3.32365139486545,1.2411,86.88707176396827,41.31479700188113,106.98696013216698,6.113946026666668,0.007723285417926548,0.21247879027396355,1.0354264873207613
mp-571333,Ca5(SiN3)2,0.0,-6.767149556538461,3.048928880683531,2.1605,,,,5.258071246666666,0.01262569752630658,0.27102972114615653,1.0527665574494491
mp-1105373,Ca5P3H,0.0,-8.535231790555555,2.521717093162212,0.6829000000000001,,,,,,,
mp-41472,Ca5P3HO13,0.0,-7.495011797727273,3.178173487705143,5.1992,,,,2.9348740666666666,8.886280656473649e-05,0.019997065000001868,1.0068446937532176
mp-28879,Ca5P8,0.0,-9.304107062307692,2.539264062615659,1.1418,,,,9.528613576668869,0.040527703654722545,0.4352768592538556,1.0470870958744949
mp-1227400,Ca5Si(PO6)2,0.0,-7.669843754375,2.972249131556109,4.7968,,,,,,,
mp-793,Ca5Si3,0.0,-8.24334057875,2.184300966345609,0.0,40.73118279569891,26.732931508308923,65.80277252407407,,,,
mp-1029474,Ca7SiN6,0.0,-6.088022391071428,3.004270533805523,1.822099999999999,79.35251222390829,54.28130597982337,132.60715413329442,6.025007763333332,0.0033636068297568877,0.12534037000000087,1.0209541782040736
mp-686651,Ca9LaTi10O30,0.0,-8.5839689404,4.186364571267878,0.0,,,,,,,
mp-722262,CaB3H3O7,0.0,-7.271193215714286,2.480982634264273,5.9041,,,,,,,
mp-1194867,CaB3HO6,0.0,-7.83649226,2.641885868607406,5.8113,,,,,,,
mp-1213975,CaB4,0.0,-7.7453894515,2.642539600836124,0.0,,,,,,,
mp-556214,CaB4O7,0.0,-8.30528852968744,2.734665245145772,5.7875,,,,,,,
mp-865,CaB6,0.0,-7.777311744285714,2.458646808714373,0.0,146.66666666666666,84.74825174825175,213.18354455683047,,,,
mp-23701,CaB8H4O15,0.0,-7.718285746249999,2.060580412049061,5.5888,,,,,,,
mp-1192226,CaBHO3,0.0,-7.2461338516666665,2.524222186553994,4.963699999999999,,,,,,,
mp-1575,CaC2,0.0,-9.115618060000001,2.199846562628209,2.0383,58.24000467190797,23.085082684883655,61.17273069604322,,,,
mp-1200920,CaC2(NO)2,0.0,-8.254256290714286,2.682238725205167,3.80857274322609,,,,,,,
mp-4124,CaCN2,0.0,-9.851312615,2.280192324532608,3.5774,70.05757575757576,20.311856944564934,55.565517119201935,3.3476634266666685,0.8054810942675518,1.9038559636830827,1.7017415648535907
mp-3953,CaCO3,0.0,-7.9036375660000004,2.703519704858185,4.999499999999999,75.01062331309114,33.1296719956005,86.63450005491698,2.8618342133333337,0.09355813022825676,0.6488544824016707,1.2670991120485455
mp-1229253,CaCe4Si3O13,0.0,-8.679423971428573,5.117153557631417,0.16080000000000003,,,,,,,
mp-1227227,CaCeN2,0.0,-15.4951035275,5.6143393613539185,0.38919999999999905,,,,,,,
mp-23713,CaH2,0.0,-5.3163877125,1.960743294233768,3.0275,46.84413168608732,32.36155289361054,78.91276571247612,4.452752266666667,0.010424166040149013,0.24887477000000047,1.057404953616478
